giornata,data,ora,teamA,teamB,pt A,pt B,teamA_slug,teamB_slug
26° GIORNATA,DOMENICA 11 APRILE,Ore 19:30 ,Acqua S.Bernardo Cantù,Dolomiti Energia Trento,75,76,Cantù,Trento
26° GIORNATA,DOMENICA 11 APRILE,Ore 20:30 ,Virtus Bologna,Allianz Trieste,81,67,Virtus Bologna,Trieste
26° GIORNATA,DOMENICA 11 APRILE,Ore 20:45 ,Happy Casa Brindisi,A|X Armani Exchange Milano,80,71,Brindisi,Milano
27° GIORNATA,MERCOLEDI’ 14 APRILE,Ore 18:00 ,Carpegna Prosciutto Pesaro,Happy Casa Brindisi,62,86,Pesaro,Brindisi
27° GIORNATA,MERCOLEDI’ 14 APRILE,Ore 18:30 ,Openjobmetis Varese,Umana Reyer Venezia,75,77,Varese,Venezia
27° GIORNATA,MERCOLEDI’ 14 APRILE,Ore 19:00 ,Vanoli Cremona,Fortitudo Lavoropiù Bologna,82,74,Cremona,Fortitudo Bologna
27° GIORNATA,MERCOLEDI’ 14 APRILE,Ore 19:30 ,Germani Brescia,Acqua S.Bernardo Cantù,69,74,Brescia,Cantù
27° GIORNATA,MERCOLEDI’ 14 APRILE,Ore 20:00 ,Dolomiti Energia Trento,Allianz Trieste,81,69,Trento,Trieste
27° GIORNATA,MERCOLEDI’ 14 APRILE,Ore 20:45 ,Banco di Sardegna Sassari,A|X Armani Exchange Milano,73,85,Sassari,Milano
27° GIORNATA,MERCOLEDI’ 21 APRILE,Ore 20:00 ,Virtus Bologna,De’Longhi Treviso,97,68,Virtus Bologna,Treviso
28° GIORNATA,SABATO 17 APRILE,Ore 20:15 ,A|X Armani Exchange Milano,Virtus Bologna,94,84,Milano,Virtus Bologna
28° GIORNATA,DOMENICA 18 APRILE,Ore 12:00 ,Germani Brescia,Banco di Sardegna Sassari,82,94,Brescia,Sassari
28° GIORNATA,DOMENICA 18 APRILE,Ore 19:30 ,Acqua S.Bernardo Cantù,Unahotels Reggio Emilia,71,72,Cantù,Emilia
28° GIORNATA,DOMENICA 18 APRILE,Ore 20:45 ,Happy Casa Brindisi,Vanoli Cremona,67,78,Brindisi,Cremona
28° GIORNATA,DOMENICA 18 APRILE,Ore 19:30 ,Allianz Trieste,Carpegna Prosciutto Pesaro,101,88,Trieste,Pesaro
28° GIORNATA,DOMENICA 18 APRILE,Ore 20:45 ,Umana Reyer Venezia,Fortitudo Lavoropiù Bologna,92,76,Venezia,Fortitudo Bologna
28° GIORNATA,DOMENICA 18 APRILE,Ore 19:30 ,De’Longhi Treviso,Openjobmetis Varese,94,103,Treviso,Varese
29° GIORNATA,DOMENICA 25 APRILE,Ore 12:00 ,Carpegna Prosciutto Pesaro,A|X Armani Exchange Milano,81,88,Pesaro,Milano
29° GIORNATA,DOMENICA 25 APRILE,Ore 20:30 ,Vanoli Cremona,Germani Brescia,89,94,Cremona,Brescia
29° GIORNATA,DOMENICA 25 APRILE,Ore 20:30 ,Fortitudo Lavoropiù Bologna,Acqua S.Bernardo Cantù,75,68,Fortitudo Bologna,Cantù
29° GIORNATA,DOMENICA 25 APRILE,Ore 20:30 ,Banco di Sardegna Sassari,Unahotels Reggio Emilia,89,82,Sassari,Emilia
29° GIORNATA,DOMENICA 25 APRILE,Ore 20:30 ,Openjobmetis Varese,Allianz Trieste,73,79,Varese,Trieste
29° GIORNATA,DOMENICA 25 APRILE,Ore 20:30 ,Umana Reyer Venezia,De’Longhi Treviso,82,62,Venezia,Treviso
29° GIORNATA,VENERDI’ 7 MAGGIO,Ore 20:30 ,Dolomiti Energia Trento,Happy Casa Brindisi,83,73,Trento,Brindisi
30° GIORNATA,LUNEDÌ 10 MAGGIO,Ore 20:45 ,Acqua S.Bernardo Cantù,Banco di Sardegna Sassari,106,101,Cantù,Sassari
30° GIORNATA,LUNEDÌ 10 MAGGIO,Ore 20:45,A|X Armani Exchange Milano,Vanoli Cremona,77,66,Milano,Cremona
30° GIORNATA,LUNEDÌ 10 MAGGIO,Ore 20:45,Allianz Trieste,Fortitudo Lavoropiù Bologna,88,82,Trieste,Fortitudo Bologna
30° GIORNATA,LUNEDÌ 10 MAGGIO,Ore 20:45,Unahotels Reggio Emilia,Umana Reyer Venezia,65,71,Emilia,Venezia
30° GIORNATA,LUNEDÌ 10 MAGGIO,Ore 20:45,Happy Casa Brindisi,Openjobmetis Varese,108,84,Brindisi,Varese
30° GIORNATA,LUNEDÌ 10 MAGGIO,Ore 20:45,Virtus Bologna,Dolomiti Energia Trento,83,91,Virtus Bologna,Trento
30° GIORNATA,LUNEDÌ 10 MAGGIO,Ore 20:45,Germani Brescia,Carpegna Prosciutto Pesaro,86,84,Brescia,Pesaro
